subject_idx,Cog_score,ECG_score,EMG_score,Eye_score,BPHR_score,Ele_score,Score_score,Psy_score,Shooting_TotalScore_Score,Shooting_Accuracy_Score,Shooting_AvgScore_Score,Task4_BallAndRing_Score,Task4_NumberLine_Score,Task4_Total_Score,Task4_Accuracy_Score,Game5_TotalScore_Score,Game5_LifeSum_Score,Behavior_Score_Factor_PCA,Behavior_Score_Factor_Weighted,Motivation_Factor_Formula,Motivation_Factor_PCA
25,-3.038377128917729,1.6310053541383405,-3.1737004423351665,3.631902832062802,2.705444573226648,-2.151132575297203,-2.1829393557426098,1.0789006082782187,1546.0,0.83,20.61,2087.0,190,2277.0,0.67,900,258.0,-2.1829393557426098,-0.7524602290760588,-0.764993273465599,-1.14822080781752
26,2.834553191939467,-1.9523405380691328,-0.6072214713502992,-4.383792545470926,0.23556193404991352,0.2456893692504009,0.9839486070199632,1.397778979511728,1482.0,0.96,17.23,2659.0,420,3079.0,0.77,780,192.0,0.9839486070199632,0.015852962950610464,-0.3893828282288072,1.276013048303143
27,-2.790391789069485,0.7406814183048135,-4.030231497543782,-0.796990697075509,1.5601726609309374,1.7919933593938457,-3.3004149914232417,3.46081303371108,1267.0,0.83,17.12,1611.0,270,1881.0,0.68,810,214.0,-3.3004149914232417,-1.1407145852936755,0.8125705965289264,2.6659953341226634
28,-1.7178106436647658,2.1638183591061773,-2.4744958571607447,3.834182734224827,-0.9209654069194547,0.16143205667194183,-2.053611267883612,1.7302947723057944,2375.0,1.0,26.69,1432.0,280,1712.0,0.72,900,278.0,-2.053611267883612,-0.40565783619170415,1.0379368636710016,2.3670900165921
29,0.24511259483123082,1.8048133638224495,0.7518567999426956,3.770362648297264,-2.143491125823561,0.42397874877988045,-0.23315353599604044,2.780776708783463,1833.0,0.79,26.19,2340.0,430,2770.0,0.75,450,185.0,-0.23315353599604044,-0.37494560938107335,-0.5396270063235239,-1.5069130761412972
30,-1.8041248983475204,-4.884204621067969,2.2662223285625855,1.0246272186739895,-0.3644350274962767,-0.6471530510453317,-0.16601508541584634,-0.761250553720946,1381.0,0.79,19.45,2449.0,350,2799.0,0.76,760,223.0,-0.16601508541584634,-0.37588038733389767,-0.870164198131901,-2.5723830374252823
31,-0.8234389478134757,3.8833571932261757,1.569489806629301,0.6860659827935893,0.594112497857698,-0.3668169179573716,3.0837764817089224,0.8311919333942017,2037.0,0.93,24.54,2802.0,500,3302.0,0.78,1470,339.0,3.0837764817089224,0.9625056731120146,0.43696015129213467,-0.7017648134668361
32,-4.599252076024019,2.3164043855095175,-1.1090263970869763,0.5768387978262628,-0.4617716584859004,-0.5480698527929978,-0.2297872403256564,2.1198208398761125,1639.0,0.93,19.51,1787.0,500,2287.0,0.81,1000,186.0,-0.2297872403256564,-0.17931091134545235,0.8876926855762848,0.5812496266137965
33,-2.1092839724559393,1.506321283163249,1.8635642582067276,0.10845693974265846,-0.14483776497508025,-0.726414484885284,1.9383642726054506,-3.712862410275093,1812.0,0.89,22.94,2618.0,420,3038.0,0.78,1240,341.0,1.9383642726054506,0.5259720502641623,-0.46450491727616555,-0.14037105531556873
34,-1.3060599211324253,-0.2775428893521805,-0.4197339821395159,-2.067708734301507,1.537600826333408,0.16346963592162664,-2.307758918837732,4.096698239847031,1456.0,0.71,22.75,2139.2,430,1560.0,0.73,820,145.0,-2.307758918837732,-0.8992746329869356,1.0379368636710016,1.758788809031773
